Name,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Acadia,2669034,3437286,3537575,3509271,3303393,2811184,2563129,2254922,2431052,2374645,2504208,2227698,2075857,2202228,2083588,2051484,2207847,2431062,2558572,2516551,2469238,2602227,2594497,2760306,2704831,2845378,2710749,2656034,2382113,2475857,2339591,5440952,4502283,4288154,3929054,3745570,3734763,4124639,3572114,2997972,2779666,2787366
Arches,1238083,1659702,1663557,"1,539,028","1,585,718","1,399,247","1,284,767","1,082,866","1,070,577","1,040,758","1,014,405","996,312","928,795","860,181","833,049","781,670","733,131","757,781","769,672","754,026","786,429","869,980","837,161","858,525","856,016","859,374","777,178","773,678","799,831","705,882","620,719","555,809","520,455","468,916","419,444","363,464","345,180","287,875","339,415","326,508","290,519","269,840"
Badlands,916932,970998,"1,008,942","1,054,325","996,263","989,354","868,094","892,372","883,406","870,741","977,778","933,918","845,734","886,654","840,118","909,146","936,030","871,034","908,898","955,469","1,105,824","950,453","1,021,049","970,696","1,024,705","1,075,569","1,130,459","1,179,458","1,205,297","1,518,396","1,326,475","1,237,956","1,110,040","1,174,398","1,025,630","950,242","1,113,675","1,026,981","1,030,484","1,175,952","952,652","858,000"
Big Bend,393907,463832,"440,091","440,276","388,290","381,747","314,102","316,953","292,055","361,862","372,330","363,905","362,512","364,856","298,717","398,583","357,723","312,384","327,747","328,927","262,320","327,649","338,442","305,882","279,454","295,460","330,417","327,907","294,535","296,470","257,378","281,728","239,595","227,921","200,622","188,045","167,665","164,926","180,144","167,332","174,008","282,941"
Biscayne,402770,708522,"469,253","446,961","514,709","508,164","525,745","486,848","495,613","476,077","467,612","437,745","686,062","517,442","608,836","563,728","478,304","490,031","513,397","489,343","393,151","442,585","403,239","392,069","338,603","584,519","25,147","19,950","307,512","488,134","573,376","589,957","531,036","607,968","578,013","460,921","340,567","369,082","348,219","305,502","248,071","202,938"
Black Canyon of the Gunnison,341620,432818,"308,962","307,143","238,018","209,166","183,045","175,852","192,570","168,336","176,344","171,451","160,185","219,576","160,450","180,814","175,581","167,247","173,687","181,018","191,506","200,142","193,451","209,863","200,125","221,113","214,194","319,322","337,209","316,336","275,323","288,586","269,073","285,439","289,117","266,012","253,048","291,618","227,428","266,604","336,119","234,286"
Bryce Canyon,1464655,2594904,"2,679,478","2,571,684","2,365,110","1,745,804","1,435,741","1,311,875","1,385,352","1,296,000","1,285,492","1,216,377","1,043,321","1,012,563","890,676","1,017,681","987,253","903,760","886,436","1,068,619","1,099,275","1,081,521","1,166,331","1,174,824","1,269,600","994,548","1,028,134","1,107,951","1,018,174","929,067","862,659","808,045","791,348","718,342","578,018","500,782","495,104","472,633","471,517","474,092","571,541","558,095"
Canyonlands,493914,733996,"739,449","742,271","776,218","634,607","542,431","462,242","452,952","473,773","435,908","436,241","436,715","417,560","392,537","393,381","371,706","386,986","367,078","368,592","401,558","446,160","436,524","432,697","447,527","448,769","429,921","434,844","395,698","339,315","276,831","257,411","212,100","172,384","172,987","116,672","102,533","100,022","97,079","89,915","56,505","74,545"
Capitol Reef,981038,1226519,"1,227,627","1,150,165","1,064,904","941,029","786,514","663,670","673,345","668,834","662,661","617,208","604,811","554,907","511,511","550,255","549,708","535,441","525,646","527,760","612,656","680,153","656,026","625,680","678,012","648,864","605,324","610,707","675,837","618,056","562,477","515,278","469,556","428,808","383,742","320,503","296,230","331,734","289,486","397,789","342,788","288,860"
Carlsbad Caverns,183835,440691,465912,520026,"466,773","445,720","397,309","388,566","381,058","365,000","428,524","432,639","400,381","409,560","407,367","413,786","419,599","457,631","476,259","455,621","469,303","514,418","522,076","540,797","557,217","588,609","617,087","687,161","688,742","679,450","747,016","792,378","786,135","781,300","752,552","732,482","712,989","712,247","781,963","771,766","672,963","721,647"
