Place,Type,Lat,Lon,Visits/Population,,,,,,,
Acadia,Park,44.3386,-68.2733,3028681,,,,,,,
Arches,Park,38.7331,-109.5925,888210,,,,,,,
Badlands,Park,43.8554,-102.3397,1044457,,,,,,,
Big Bend,Park,29.2498,-103.2502,324813,,,,,,,
Biscayne,Park,25.4824,-80.2083,470800,,,,,,,
Black Canyon of the Gunnison,Park,38.5754,-107.7416,246883,,,,,,,
Bryce Canyon,Park,37.593,-112.1871,1204503,,,,,,,
Canyonlands,Park,38.2136,-109.9025,411425,,,,,,,
Capitol Reef,Park,38.0877,-111.1355,667327,,,,,,,
Carlsbad Caverns,Park,32.137,-104.5438,556436,,,,,,,
Channel Islands,Park,34.015,-119.7516,320294,,,,,,,
Congaree,Park,33.7919,-80.749,84504,,,,,,,
Crater Lake,Park,42.9295,-122.1279,495846,,,,,,,
Cuyahoga Valley,Park,41.2808,-81.5678,2231159,,,,,,,
Death Valley,Park,36.5054,-117.0794,955674,,,,,,,
Denali,Park,63.1148,-151.1926,438857,,,,,,,
Dry Tortugas,Park,24.6285,-82.8732,47411,,,,,,,
Everglades,Park,25.2866,-80.8987,950902,,,,,,,
Gates of the Arctic,Park,67.6855,-153.3241,6437,,,,,,,
Gateway Arch,Park,38.6249,-90.1859,2472350,,,,,,,
Glacier,Park,48.7596,-113.787,2099093,,,,,,,
Glacier Bay,Park,58.6658,-136.9002,323894,,,,,,,
Grand Canyon,Park,36.2679,-112.3535,4227801,,,,,,,
Grand Teton,Park,43.7904,-110.6818,2520762,,,,,,,
Great Basin,Park,38.93,-114.2634,86016,,,,,,,
Great Sand Dunes,Park,37.7935,-105.5931,297755,,,,,,,
Great Smoky Mountains,Park,35.6131,-83.5532,9915181,,,,,,,
Guadalupe Mountains,Park,31.9233,-104.8663,184447,,,,,,,
Haleakala,Park,20.7204,-156.1552,1226095,,,,,,,
Hawaii Volcanoes,Park,19.4194,-155.2885,1439164,,,,,,,
Hot Springs,Park,34.5269,-93.0691,1417047,,,,,,,
Indiana Dunes,Park,41.6533,-87.0524,1875140,,,,,,,
Isle Royale,Park,47.9959,-88.9093,20388,,,,,,,
Joshua Tree,Park,33.8734,-115.901,1440759,,,,,,,
Katmai,Park,58.5862,-154.9698,40400,,,,,,,
Kenai Fjords,Park,59.8487,-150.1879,208521,,,,,,,
Kings Canyon,Park,36.8879,-118.5551,701652,,,,,,,
Kobuk Valley,Park,67.3575,-159.2137,5640,,,,,,,
Lake Clark,Park,60.6242,-153.3058,10691,,,,,,,
Lassen Volcanic,Park,40.4977,-121.4207,430165,,,,,,,
Mammoth Cave,Park,37.1815,-86.1505,1338231,,,,,,,
Mesa Verde,Park,37.2309,-108.4618,581673,,,,,,,
Mount Rainier,Park,46.88,-121.7269,1321876,,,,,,,
New River Gorge,Park,37.8707,-81.0531,924174,,,,,,,
North Cascades,Park,48.7718,-121.2985,208275,,,,,,,
Olympic,Park,47.8021,-123.6044,3058000,,,,,,,
Petrified Forest,Park,35.0037,-109.7889,717609,,,,,,,
Pinnacles,Park,36.4906,-121.1825,198601,,,,,,,
Redwood,Park,41.4017,-124.0417,455405,,,,,,,
Rocky Mountain,Park,40.3428,-105.6836,3164139,,,,,,,
Saguaro,Park,32.2967,-111.1666,735350,,,,,,,
Sequoia,Park,36.4864,-118.5658,1026259,,,,,,,
Shenandoah,Park,38.4755,-78.4535,1553848,,,,,,,
Theodore Roosevelt,Park,46.979,-103.5387,539527,,,,,,,
Virgin Islands,Park,18.3435,-64.7501,572347,,,,,,,
Voyageurs,Park,48.4711,-92.8458,227496,,,,,,,
White Sands,Park,32.7872,-106.3257,554911,,,,,,,
Wind Cave,Park,43.5724,-103.4416,629002,,,,,,,
Wrangell-St. Elias,Park,61.7104,-142.9857,45620,,,,,,,
Yellowstone,Park,44.428,-110.5885,3137053,,,,,,,
Yosemite,Park,37.8651,-119.5383,3530510,,,,,,,
Zion,Park,37.2982,-113.0263,2662643,,,,,,,
New York,City,40.66,-73.94,8467513,,,,,,,
Los Angeles,City,34.02,-118.41,3849297,,,,,,,
Chicago,City,41.84,-87.68,2696555,,,,,,,
Houston,City,29.79,-95.39,2288250,,,,,,,
Phoenix,City,33.57,-112.09,1624569,,,,,,,
Philadelphia,City,40.01,-75.13,1576251,,,,,,,
San Antonio,City,29.46,-98.52,1451853,,,,,,,
San Diego,City,32.81,-117.14,1381611,,,,,,,
Dallas,City,32.79,-96.77,1288457,,,,,,,
San Jose,City,37.3,-121.81,983489,,,,,,,
Austin,City,30.3,-97.75,964177,,,,,,,
Jacksonville,City,30.34,-81.66,954614,,,,,,,
Fort Worth,City,32.78,-97.35,935508,,,,,,,
Columbus,City,39.99,-82.99,906528,,,,,,,
Indianapolis,City,39.78,-86.15,882039,,,,,,,
Charlotte,City,35.21,-80.83,879709,,,,,,,
San Francisco,City,37.73,-123.03,815201,,,,,,,
Seattle,City,47.62,-122.35,733919,,,,,,,
Denver,City,39.76,-104.88,711463,,,,,,,
Oklahoma City,City,35.47,-97.51,687725,,,,,,,
Nashville,City,36.17,-86.79,678851,,,,,,,
El Paso,City,31.85,-106.43,678415,,,,,,,
Washington,City,38.9,-77.02,670050,,,,,,,
Boston,City,42.34,-71.02,654776,,,,,,,
Las Vegas,City,36.23,-115.26,646790,,,,,,,
Portland,City,45.54,-122.65,641162,,,,,,,
Detroit,City,42.38,-83.1,632464,,,,,,,
Louisville,City,38.17,-85.65,628594,,,,,,,
Memphis,City,35.11,-89.97,628127,,,,,,,
