Park,Year,Visitors,Campers,Backcountry Campers
Acadia,2002,2558572,144885,0
Acadia,2003,2431062,139245,0
Acadia,2004,2207847,121455,0
Acadia,2005,2051484,105117,1157
Acadia,2006,2083588,118551,1306
Acadia,2007,2202228,121866,1091
Acadia,2008,2075857,122226,1229
Acadia,2009,2227698,127797,1037
Acadia,2010,2504208,150108,974
Acadia,2011,2374645,145398,1157
Acadia,2012,2431052,151242,1316
Acadia,2013,2254922,143778,1166
Acadia,2014,2563129,159843,1230
Acadia,2015,2811184,167094,1233
Acadia,2016,3303393,200417,1324
Acadia,2017,3509271,210055,1597
Acadia,2018,3537575,204323,1472
Acadia,2019,3437286,199771,1284
Acadia,2020,2669034,307,0
Acadia,2021,4069098,150037,1612
Acadia,2022,3970260,187714,1472
Arches,2002,769672,41524,402
Arches,2003,757781,40282,341
Arches,2004,733131,43140,378
Arches,2005,781670,46420,471
Arches,2006,833049,45544,286
Arches,2007,860181,44104,277
Arches,2008,928795,43894,366
Arches,2009,996312,46953,808
Arches,2010,1014405,39094,923
Arches,2011,1040758,42907,1192
Arches,2012,1070577,41744,851
Arches,2013,1082866,42136,953
Arches,2014,1284767,40688,1211
Arches,2015,1399247,43723,1208
Arches,2016,1585718,46704,1174
Arches,2017,1539028,2252,65
Arches,2018,1663557,34095,368
Arches,2019,1659702,33813,405
Arches,2020,1238083,21003,34
Arches,2021,1806865,29040,312
Arches,2022,1460652,35129,272
Badlands,2002,908898,40460,540
Badlands,2003,871034,44770,384
Badlands,2004,936030,43111,879
Badlands,2005,909146,35464,654
Badlands,2006,840118,33159,397
Badlands,2007,886654,48569,710
Badlands,2008,845734,31094,613
Badlands,2009,933918,43494,1410
Badlands,2010,977778,34733,1658
Badlands,2011,870741,42907,1578
Badlands,2012,883406,41409,979
Badlands,2013,892372,54939,1429
Badlands,2014,868094,58537,1419
Badlands,2015,989354,54401,1445
Badlands,2016,996263,66440,1410
Badlands,2017,1054325,63592,2433
Badlands,2018,1008942,26903,2926
Badlands,2019,970998,31332,2493
Badlands,2020,916932,24862,4514
Badlands,2021,1224226,31157,3534
Badlands,2022,1006809,28604,2319
Big Bend,2002,327747,132917,30418
Big Bend,2003,312384,109125,29399
Big Bend,2004,357723,121268,29720
Big Bend,2005,398583,115847,28239
Big Bend,2006,298717,111762,22668
Big Bend,2007,364856,117519,21146
Big Bend,2008,362512,111774,19306
Big Bend,2009,363905,119263,20727
Big Bend,2010,372330,120460,22712
Big Bend,2011,361862,104275,16254
Big Bend,2012,292055,107116,15648
Big Bend,2013,316953,111609,19378
Big Bend,2014,314102,124940,24723
Big Bend,2015,381747,138773,32435
Big Bend,2016,388290,151912,41793
Big Bend,2017,440276,151664,42555
Big Bend,2018,440091,150197,23858
Big Bend,2019,463832,145092,23320
Big Bend,2020,393907,79549,28219
Big Bend,2021,581220,94043,29692
Big Bend,2022,514107,68421,55173
Biscayne,2002,513397,0,0
Biscayne,2003,490031,0,0
Biscayne,2004,478304,0,0
Biscayne,2005,563728,0,0
Biscayne,2006,608836,248,0
Biscayne,2007,517442,2002,0
Biscayne,2008,686062,807,0
Biscayne,2009,437745,934,0
Biscayne,2010,467612,4064,0
Biscayne,2011,476077,4552,0
Biscayne,2012,495613,3462,0
Biscayne,2013,486848,2436,0
Biscayne,2014,525745,2044,0
Biscayne,2015,508164,1860,0
Biscayne,2016,514709,2522,0
Biscayne,2017,446961,2452,0
Biscayne,2018,469253,2119,0
Biscayne,2019,708522,238,0
Biscayne,2020,402770,145,0
Biscayne,2021,705655,2240,0
Biscayne,2022,701023,2267,0
Black Canyon of the Gunnison,2002,173687,10166,1884
Black Canyon of the Gunnison,2003,167247,12836,2037
Black Canyon of the Gunnison,2004,175581,13585,1782
Black Canyon of the Gunnison,2005,180814,12155,1635
Black Canyon of the Gunnison,2006,160450,11034,1829
Black Canyon of the Gunnison,2007,219576,13672,1705
Black Canyon of the Gunnison,2008,160185,12561,1259
Black Canyon of the Gunnison,2009,171451,13112,1412
Black Canyon of the Gunnison,2010,176344,15254,1146
Black Canyon of the Gunnison,2011,168336,17487,631
Black Canyon of the Gunnison,2012,192570,19036,666
Black Canyon of the Gunnison,2013,175852,18255,575
Black Canyon of the Gunnison,2014,183045,17054,390
Black Canyon of the Gunnison,2015,209166,21109,1090
Black Canyon of the Gunnison,2016,238018,30948,1936
Black Canyon of the Gunnison,2017,307143,31052,1708
Black Canyon of the Gunnison,2018,308962,32058,2088
Black Canyon of the Gunnison,2019,432818,30069,1861
Black Canyon of the Gunnison,2020,341620,29747,2419
Black Canyon of the Gunnison,2021,308910,30845,2035
Black Canyon of the Gunnison,2022,297257,27799,1685
Bryce Canyon,2002,886436,128399,1928
Bryce Canyon,2003,903760,123355,1988
Bryce Canyon,2004,987253,130575,1450
Bryce Canyon,2005,1017681,123233,1548
Bryce Canyon,2006,890676,125597,1291
Bryce Canyon,2007,1012563,136308,1432
Bryce Canyon,2008,1043321,126453,1300
Bryce Canyon,2009,1216377,146157,1824
Bryce Canyon,2010,1285492,143026,1918
Bryce Canyon,2011,1296000,130424,1702
Bryce Canyon,2012,1385352,141876,1712
Bryce Canyon,2013,1311875,134220,1662
Bryce Canyon,2014,1435741,140122,1449
Bryce Canyon,2015,1745804,146982,2072
Bryce Canyon,2016,2365110,157804,2684
Bryce Canyon,2017,2571684,149403,2414
Bryce Canyon,2018,2679478,131056,2603
Bryce Canyon,2019,2594904,106299,1394
Bryce Canyon,2020,1464655,90257,1680
Bryce Canyon,2021,2104600,129105,2063
Bryce Canyon,2022,2354660,131506,1657
Canyonlands,2002,367078,24419,62365
Canyonlands,2003,386986,24827,64009
Canyonlands,2004,371706,24018,65281
Canyonlands,2005,393381,23370,69708
