Park,Year,Front-country_pct,Backcountry_pct
Acadia,2002,5.662729054,0
Acadia,2003,5.727743677,0
Acadia,2004,5.501060535,0
Acadia,2005,5.123949297,0.056398198
Acadia,2006,5.689752485,0.062680338
Acadia,2007,5.533759447,0.049540738
Acadia,2008,5.887977833,0.059204464
Acadia,2009,5.736729126,0.046550295
Acadia,2010,5.994230511,0.038894533
Acadia,2011,6.12293627,0.048723072
Acadia,2012,6.221257299,0.054132943
Acadia,2013,6.376185074,0.051709106
Acadia,2014,6.23624484,0.047988221
Acadia,2015,5.943901217,0.043860523
Acadia,2016,6.067004441,0.040080003
Acadia,2017,5.985716122,0.045508027
Acadia,2018,5.775792739,0.041610425
Acadia,2019,5.811881816,0.037355053
Acadia,2020,0.011502289,0
Acadia,2021,3.687229946,0.039615659
Acadia,2022,4.7280027,0.037075658
Arches,2002,5.395025413,0.052230041
Arches,2003,5.315783848,0.044999809
Arches,2004,5.884350819,0.05155968
Arches,2005,5.938567426,0.060255607
Arches,2006,5.46714539,0.034331714
Arches,2007,5.127292977,0.032202525
Arches,2008,4.725908301,0.039405897
Arches,2009,4.712680365,0.081099093
Arches,2010,3.85388479,0.090989299
Arches,2011,4.122668286,0.114531908
Arches,2012,3.899205755,0.079489845
Arches,2013,3.891155508,0.088007196
Arches,2014,3.166955565,0.094258336
Arches,2015,3.124752099,0.086332149
Arches,2016,2.945290398,0.074035863
Arches,2017,0.146326123,0.004223445
Arches,2018,2.049524002,0.022121274
Arches,2019,2.037293442,0.024401971
Arches,2020,1.696412922,0.002746181
Arches,2021,1.607203637,0.017267477
Arches,2022,2.405021867,0.018621821
Badlands,2002,4.451544618,0.059412607
Badlands,2003,5.139868249,0.044085535
Badlands,2004,4.605728449,0.093907247
Badlands,2005,3.900803611,0.071935641
Badlands,2006,3.946945548,0.047255267
Badlands,2007,5.477785021,0.080076332
Badlands,2008,3.676569702,0.072481419
Badlands,2009,4.657154054,0.150976852
Badlands,2010,3.552237829,0.169568143
Badlands,2011,4.927642089,0.181224957
Badlands,2012,4.687425714,0.110821072
Badlands,2013,6.156513203,0.160135011
Badlands,2014,6.743163759,0.163461561
Badlands,2015,5.498638506,0.1460549
Badlands,2016,6.668921761,0.141528893
Badlands,2017,6.031536765,0.230763759
Badlands,2018,2.666456546,0.29000676
Badlands,2019,3.226783165,0.256746152
Badlands,2020,2.711433345,0.492293867
Badlands,2021,2.545036619,0.28867219
Badlands,2022,2.841055255,0.230331672
Big Bend,2002,40.55475718,9.280939261
Big Bend,2003,34.93296712,9.411173428
Big Bend,2004,33.89997288,8.308104315
Big Bend,2005,29.06471174,7.084848074
Big Bend,2006,37.41400724,7.588453285
Big Bend,2007,32.20969369,5.795711185
Big Bend,2008,30.83318621,5.325616807
Big Bend,2009,32.77311386,5.695717289
Big Bend,2010,32.35302017,6.099965085
Big Bend,2011,28.81623381,4.49176758
Big Bend,2012,36.67665337,5.357894917
Big Bend,2013,35.21310731,6.113840222
Big Bend,2014,39.77688776,7.871010054
Big Bend,2015,36.35208659,8.496464936
Big Bend,2016,39.12333565,10.76334698
Big Bend,2017,34.44748294,9.665527987
Big Bend,2018,34.1286234,5.421151535
Big Bend,2019,31.28115352,5.027682437
Big Bend,2020,20.19486833,7.163873706
Big Bend,2021,16.18027597,5.108564743
Big Bend,2022,13.30870811,10.73181264
Biscayne,2002,0,0
Biscayne,2003,0,0
Biscayne,2004,0,0
Biscayne,2005,0,0
Biscayne,2006,0.040733465,0
Biscayne,2007,0.386903266,0
Biscayne,2008,0.117627853,0
Biscayne,2009,0.213366229,0
Biscayne,2010,0.869096601,0
Biscayne,2011,0.95614785,0
Biscayne,2012,0.698528893,0
Biscayne,2013,0.500361509,0
Biscayne,2014,0.388781634,0
Biscayne,2015,0.366023567,0
Biscayne,2016,0.489985604,0
Biscayne,2017,0.548593725,0
Biscayne,2018,0.45156877,0
Biscayne,2019,0.033591053,0
