,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Denali,Death Valley,Dry Tortugas,Everglades,Gates of the Arctic,Glacier,Glacier Bay,Great Basin,Grand Canyon,Great Sand Dunes,Great Smoky Mountains,Grand Teton,Guadalupe Mountains,Haleakala,Hawaii Volcanoes,Hot Springs,Indiana Dunes,Isle Royale,Gateway Arch,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark ,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Virgin Islands,Voyageurs,White Sands,Wrangell-St. Elias,Wind Cave,Yellowstone,Yosemite,Zion
2020,2669034,1238083,916932,393907,402770,341620,1464655,493914,981038,183835,167290,119306,670500,2755628,54850,820023,48543,702319,2872,1698864,5748,120248,2897098,461532,12095720,3289638,151256,319147,589775,1348215,"2,295,126","8,513","488,041","2,401,562","53,531","117,902","417,097","13,205","6,968","544,294","292,412","289,497","1,162,774","1,056,394","32,905",2499177,384483,165740,265177,3305199,762226,796086,1666265,551303,167540,263091,415383,16655,448405,3806306,2268313,3591254
2019,3437286,1659702,970998,463832,708522,432818,2594904,733996,1226519,440691,409630,159445,704512,2237997,601152,1740945,79200,1118300,10518,3049839,672087,131802,5974411,527546,12547743,3405614,188833,994394,1368376,1467153,"2,136,304","28,429","2,057,328","2,990,566","86,186","358,620","634,129","17,785","19,176","519,058","553,609","558,222","1,503,640","1,197,740","40,227",3245806,643588,177224,504722,4670053,1020226,1246053,1425507,691658,133398,232974,608785,74518,615350,4020288,4422861,4488268
2018,3537575,1663557,"1,008,942","440,091","469,253","308,962","2,679,478","739,449","1,227,627",465912,366250,145929,720659,2096053,594660,1678660,56810,597124,9591,2965309,597915,153094,6380495,442905,11421200,3491151,172347,1044084,1116891,1506887,"1,758,097","27,816","2,018,198","2,944,400","39,836","323,614","701,041","16,955","16,497","501,453","535,224","565,438","1,520,509","1,234,645","32,103",3104455,644922,222152,482536,4590493,957405,1229594,1264880,749389,112287,239656,603008,79450,656397,4115000,4009436,4320033
2017,3509271,"1,539,028","1,054,325","440,276","446,961","307,143","2,571,684","742,271","1,150,165",520026,383687,159595,711749,2226879,642809,1294827,54281,1018557,11177,3305512,547057,168028,6254238,486935,11338893,3317000,225257,1112390,2016702,1561616,"2,160,488","30,213","1,400,205","2,855,636","39,835","305,615","694,949","17,517","24,772","509,273","589,870","615,805","1,417,884","1,170,675","32,343",3401996,627757,233334,445000,4437215,964760,1291256,1458874,708003,304408,237250,612468,68292,619924,4116524,4336890,4504812
2016,3303393,"1,585,718","996,263","388,290","514,709","238,018","2,365,110","776,218","1,064,904","466,773","364,807","143,843","756,344","2,423,390","587,412","1,296,283","73,661","930,907","10,047","2,946,681","520,171","144,846","5,969,811","388,308","11,312,786","3,270,076","181,839","1,263,558","1,887,580","1,544,300","1,700,239","26,982","1,273,871","2,507,302","39,834","348,550","609,495","17,516","23,118","538,084","588,530","585,543","1,358,929","1,199,947","30,662",3390221,643274,215555,536297,4517585,820426,1254688,1437341,753880,411343,241912,555793,79047,617377,4257177,5028868,4295127
2015,2811184,"1,399,247","989,354","381,747","508,164","209,166","1,745,804","634,607","941,029","445,720","324,816","87,513","614,712","2,284,612","560,757","1,154,843","70,862","1,077,427","10,745","2,366,056","551,353","116,123","5,520,736","299,513","10,712,674","3,149,921","169,535","1,216,772","1,832,660","1,418,162","1,642,210","20,699","1,700,671","2,027,771","39,833","298,712","470,121","2,015","19,833","470,107","568,910","549,340","1,239,246","1,180,768","22,692",3263761,793225,206533,527143,4155916,753446,1097464,1321873,580033,438372,238313,497506,80366,612198,4097710,4150217,3648846
2014,2563129,"1,284,767","868,094","314,102","525,745","183,045","1,435,741","542,431","786,514","397,309","342,161","120,122","535,508","2,189,849","531,315","1,101,312","64,865","1,110,901","12,669","2,338,528","500,727","107,526","4,756,771","271,774","10,099,276","2,791,392","166,868","1,142,040","1,693,005","1,424,484","1,555,386","16,574","1,819,105","1,591,918","32,910","272,680","504,282","2,014","18,114","434,991","524,642","503,577","1,266,273","1,126,813","25,879",3243872,836799,196635,429166,3434751,673572,1039137,1255321,559580,426930,239160,503660,74722,547022,3513484,3882642,3189696
2013,2254922,"1,082,866","892,372","316,953","486,848","175,852","1,311,875","462,242","663,670","388,566","212,029","120,340","523,027","2,103,010","530,922","951,972","58,401","1,047,116","11,012","2,190,374","500,590","92,893","4,564,840","242,841","9,354,695","2,688,794","145,670","785,300","1,583,209","1,325,719","1,683,708","18,287","2,379,271","1,385,353","30,979","285,515","569,557","18,888","15,013","429,422","496,554","462,250","1,150,565","1,073,836","23,636",3085340,644648,237677,393364,2991141,678261,909274,1136505,545090,438601,233390,490544,69984,516142,3188030,3691191,2807387
2012,2431052,"1,070,577","883,406","292,055","495,613","192,570","1,385,352","452,952","673,345","381,058","249,594","109,685","447,251","2,299,722","388,433","984,568","60,550","1,141,906","10,899","2,162,035","454,337","94,850","4,421,352","254,674","9,685,829","2,705,256","159,360","1,094,668","1,483,928","1,302,505","1,891,393","18,675","2,498,738","1,398,129","41,830","283,291","593,045","31,562","13,651","409,665","510,066","490,872","1,051,190","1,130,207","28,947",2824908,664857,224476,352517,3229617,634286,1106584,1210200,640555,483341,214841,447385,87158,529083,3447729,3853404,2973607
2011,2374645,"1,040,758","870,741","361,862","476,077","168,336","1,296,000","473,773","668,834","365,000","242,756","120,166","423,551","2,161,185","406,582","946,867","75,171","934,351","11,623","1,853,564","431,986","91,451","4,298,178","280,058","9,008,830","2,587,437","152,546","956,989","1,352,123","1,396,354","1,842,524","17,903","2,261,031","1,398,248","50,950","348,863","568,821","13,496","7,169","353,280","485,330","574,340","1,040,240","1,073,099","21,219",2966502,614054,393219,380167,3176941,610045,1006583,1209883,563407,442414,177184,428924,65225,538394,3394326,3951393,2825505
